"date","prices","vwretd_quarterly","vwretx_quarterly","dividends_quarterly","smoothed_dividends","t30ret","cpiret","exp_inflation_quarterly","real_rf"
1963-12-31,5.23325182109997,0.0570334272839648,0.0470252591016078,0.0489700771143103,0.159286500285166,0.008663,0.006515,0.00526357362043503,0.00339942637956497
1964-03-31,5.52261713655886,0.0628772931661294,0.0552935966681722,0.0390550328124673,0.162742565050684,0.008826,0,0.00688191860942727,0.00194408139057273
1964-06-30,5.70971726327197,0.0416130599465923,0.0338788878690401,0.0420012293524823,0.166285627701027,0.008635,0.003236,0.00363476197152014,0.00500023802847986
1964-09-30,5.88350711983394,0.0376831449262092,0.030437559085434,0.0404455076079388,0.170471846887199,0.008289,0.003227,0.00524762442436242,0.00304137557563758
1964-12-31,5.92326480454543,0.0156391207727382,0.00675748051319114,0.0520160715038064,0.173517841276695,0.008979,0.003215,0.005243138712967,0.003735861287033
1965-03-31,6.03473558963144,0.0259820830202986,0.0188191459886213,0.0428200295268352,0.177282837991063,0.00963,0.003205,0.00523715776443977,0.00439284223556023
1965-06-30,5.89288293891645,-0.0160190997144717,-0.0235060258412491,0.0469668903007467,0.182248498939327,0.009813,0.009584,0.00523217364066709,0.00458082635933292
1965-09-30,6.30338289471745,0.0772274618429827,0.0696602936213215,0.0432840652506555,0.185087056582044,0.009672,0,0.00841154619526564,0.00126045380473436
1965-12-31,6.4695366660359,0.0354874018788425,0.0263594603237081,0.0570581695112513,0.190129154589489,0.00993,0.00633,0.00363476197152014,0.00629523802847986
1966-03-31,6.22981741446145,-0.0299947389314612,-0.0370535424635491,0.0465767257952591,0.193885850857913,0.010946,0.009434,0.00678971231963252,0.00415628768036748
1966-06-30,5.91888333774534,-0.0420471853815544,-0.0499106243458001,0.0498467476712536,0.19676570822842,0.011396,0.009346,0.0083367843386753,0.0030592156613247
1966-09-30,5.34759808848364,-0.0886362673775554,-0.0965190926502222,0.047287573065526,0.20076921604329,0.011903,0.009259,0.00829292404947563,0.00361007595052437
1966-12-30,5.61506903399711,0.0604440333508505,0.0500170246693534,0.0556785146647572,0.199389561196796,0.011999,0.006116,0.00824956217265324,0.00374943782734676
1967-03-31,6.3060128369913,0.132053478010257,0.123051702269515,0.0488673190928281,0.201680154494365,0.011406,0.00304,0.00668305207089696,0.00472294792910304
1967-06-30,6.34260821611887,0.0137441440826234,0.00580325160660955,0.0495243970057585,0.20135780382887,0.009172,0.00909,0.00514993559841771,0.00402206440158229
1967-09-29,6.76463258356377,0.0744573669281237,0.0665379845427605,0.0488835437447106,0.202953774508054,0.009601,0.009009,0.00816533048089479,0.00143566951910521
1967-12-29,6.74396640670647,0.00531557818663742,-0.00305503315989653,0.0552884698258139,0.202563729669111,0.010668,0.008928,0.008124959078336,0.002543040921664
1968-03-29,6.29781508916295,-0.0586084829620001,-0.0661556257308538,0.0507744988901355,0.204470909466419,0.011806,0.0118,0.00808458767577722,0.00372141232422278
1968-06-28,6.95393253207314,0.112768796826598,0.104181757263597,0.05348172379089,0.20842823625155,0.013431,0.011661,0.00951602802329361,0.00391497197670639
1968-09-30,7.16466372191654,0.0379838966673758,0.030303887601937,0.051543101068341,0.21108779357518,0.013529,0.011527,0.00944674870285323,0.00408225129714677
1968-12-31,7.24525630807744,0.0192442778240538,0.0112486209107578,0.0585963297408397,0.214395653490206,0.013157,0.011396,0.00937996144429919,0.00377703855570081
1969-03-28,7.07240892488815,-0.0164282235961327,-0.0238566278182022,0.0526224683405805,0.216243622940651,0.014516,0.016902,0.00931466942287696,0.00520133057712304
1969-06-30,6.80912127617766,-0.0290962660305538,-0.037227435730416,0.060225667736361,0.222987566886122,0.015288,0.013851,0.0120589279721197,0.00322907202788027
1969-09-30,6.48996707151306,-0.0391530006400177,-0.0468715700190553,0.053225569362539,0.22467003518032,0.017366,0.013661,0.0105382718090722,0.0068277281909278
1969-12-31,6.42614209059423,-0.00081842421024636,-0.00983440751170817,0.0597816481687389,0.225855353608219,0.017176,0.016172,0.0104435734573911,0.0067324265426089
1970-03-31,6.25833133864987,-0.0176159078867885,-0.0261137630601073,0.0539434579356255,0.227176343203264,0.017592,0.013263,0.0116950869367134,0.00589691306328659
1970-06-30,5.07467329094791,-0.180895050108905,-0.189133170433466,0.0541117197552672,0.221062395222171,0.016468,0.015706,0.0102452053312381,0.00622279466876193
1970-09-30,5.8723968039159,0.16824103733589,0.157197018848673,0.0539036290254163,0.221740454885048,0.015015,0.010309,0.0114628267689061,0.00355217323109392
1970-12-31,6.43666097204243,0.106180562482933,0.0960875409083832,0.055599626450982,0.217558433167291,0.013287,0.015306,0.00877289516878562,0.00451410483121438
1971-03-31,7.01271086841908,0.0979990953977166,0.0894951433481921,0.0529320971623205,0.216547072393986,0.010078,0.005025,0.0112634618179985,-0.00118546181799851
1971-06-30,6.96499348573371,0.000876949678859651,-0.00680441324057179,0.0540658161962183,0.216501168834937,0.009466,0.015,0.00613928416729655,0.00332671583270345
1971-09-30,6.87287117268396,-0.00554264847939667,-0.0132264751199619,0.0534270960798862,0.216024635889407,0.012399,0.004926,0.0111109476305542,0.00128805236944579
1971-12-31,7.13902607687597,0.0472506259751651,0.0387254318471495,0.054561755817458,0.214986765255883,0.01055,0.007353,0.00608994134194693,0.00446005865805307
1972-03-30,7.49656723069974,0.0575657735025472,0.0500826233121465,0.0528236027242897,0.214878270817852,0.008121,0.007299,0.00729958818157864,0.00082141181842136
1972-06-30,7.49402945286294,0.00690295649325723,-0.000338525322150285,0.0550754377343171,0.215887892355951,0.008729,0.007246,0.00727267391320612,0.00145632608679388
1972-09-29,7.73508431678297,0.0393806852948724,0.0321662552083966,0.0538806424329645,0.216341438709029,0.009649,0.009593,0.00724625805721086,0.00240274194278914
1972-12-29,8.26434058205062,0.0762284402386557,0.0684228178507778,0.0591429030693039,0.220922585960875,0.011862,0.009501,0.00841603190666106,0.00344596809333894
1973-03-30,7.78867751264654,-0.0510418270594156,-0.0575560826277147,0.0542475204414382,0.222346503678024,0.013497,0.018823,0.00837017796795232,0.00512682203204768
1973-06-29,7.2778285001948,-0.0583563166549185,-0.0655886717125305,0.0566997728687478,0.223970838812454,0.015559,0.020785,0.0130163781488534,0.00254262185114664
1973-09-28,7.57496957517394,0.0488368263099106,0.040828260101373,0.0566046763403715,0.226694872719861,0.02028,0.022624,0.013994263233055,0.00628573676694498
1973-12-31,6.81908132876186,-0.0908922974853934,-0.0997876280440001,0.0678829083174047,0.235434877967962,0.01947,0.022124,0.0149108435948526,0.00455915640514741
