date,vwretd,vwretx
19431130,-0.067052,-0.077966
19431231,0.070305,0.065211
19440131,0.018622,0.01731
19440229,0.006479,0.000238
19440331,0.021313,0.017309
19440429,-0.012427,-0.013433
19440531,0.048841,0.040864
19440630,0.054574,0.049768
19440731,-0.01947,-0.020629
19440831,0.0147,0.008208
19440930,-0.000692,-0.003118
19441031,0.002435,0.001045
19441130,0.017327,0.005832
19441230,0.044778,0.041034
19450131,0.011901,0.010784
19450228,0.069472,0.063578
19450331,-0.041685,-0.04499
19450430,0.090524,0.089465
19450531,0.020041,0.011624
19450630,0.00238,0.000134
19450731,-0.021539,-0.022479
19450831,0.059852,0.054027
19450929,0.046361,0.043999
19451031,0.030815,0.029862
19451130,0.04495,0.035612
19451231,0.011133,0.008805
19460131,0.069504,0.068515
19460228,-0.065171,-0.069785
19460330,0.049118,0.046147
19460430,0.035748,0.034707
19460531,0.028785,0.023202
19460628,-0.035289,-0.037521
19460731,-0.02735,-0.028429
19460830,-0.068855,-0.073365
19460930,-0.104113,-0.106619
19461031,-0.005636,-0.006817
19461130,-0.003801,-0.011741
19461231,0.046818,0.041973
19470131,0.022013,0.020953
19470228,-0.008307,-0.015166
19470331,-0.015008,-0.017731
19470430,-0.03956,-0.040772
19470529,-0.00099,-0.01047
19470630,0.053991,0.050908
19470731,0.039572,0.038369
19470829,-0.023076,-0.029148
19470930,-0.009928,-0.01369
19471031,0.020578,0.019353
19471129,-0.017633,-0.029555
19471231,0.030784,0.025273
19480131,-0.037743,-0.038905
19480228,-0.040232,-0.047782
19480331,0.08144,0.077022
19480430,0.030821,0.028537
19480528,0.084014,0.077523
19480630,0.007665,0.003687
19480730,-0.052296,-0.053144
19480831,0.015539,0.008123
19480930,-0.027016,-0.031159
19481030,0.070041,0.067023
19481130,-0.098332,-0.109939
19481231,0.035952,0.029719
19490131,0.002676,0.001377
19490228,-0.031639,-0.041472
19490331,0.033981,0.029349
19490430,-0.018691,-0.021717
19490531,-0.029423,-0.037792
19490630,0.001744,-0.003269
19490729,0.062732,0.061657
19490831,0.0218,0.011738
19490930,0.027415,0.024293
19491031,0.02978,0.028437
19491130,0.020738,0.000482
19491231,0.050984,0.046034
19500131,0.019703,0.018245
19500228,0.019603,0.009975
19500331,0.008185,0.003542
19500429,0.045887,0.044493
19500531,0.046902,0.03759
19500630,-0.054224,-0.057849
19500731,0.016981,0.015875
19500831,0.048063,0.031526
19500929,0.059466,0.05651
19501031,0.005084,0.003425
19501130,0.02243,-0.000073
19501230,0.055425,0.051025
19510131,0.065105,0.063309
19510228,0.014546,0.004185
19510331,-0.017484,-0.019706
19510430,0.049108,0.047903
19510531,-0.029979,-0.040917
19510629,-0.025848,-0.028186
19510731,0.070935,0.070014
19510831,0.05022,0.038396
19510928,0.002868,0.001195
19511031,-0.013321,-0.015088
19511130,0.011388,-0.002574
19511231,0.041815,0.038467
19520131,0.017768,0.016303
19520229,-0.025241,-0.035743
19520331,0.052805,0.050655
19520430,-0.041423,-0.043268
19520529,0.033698,0.023274
19520630,0.047832,0.045795
19520731,0.019129,0.017659
19520829,-0.005674,-0.015007
19520930,-0.018085,-0.020098
19521031,0.00032,-0.001244
19521128,0.061382,0.048273
19521231,0.038215,0.035725
19530130,-0.006207,-0.006795
19530227,-0.00754,-0.017804
19530331,-0.022288,-0.024368
19530430,-0.025308,-0.026832
19530529,0.007401,-0.00273
19530630,-0.014266,-0.016183
19530731,0.026314,0.024844
19530831,-0.050101,-0.060097
19530930,0.002187,0.000072
19531030,0.051046,0.049806
19531130,0.023763,0.009879
19531231,0.001713,-0.001189
19540129,0.053486,0.052586
19540226,0.012916,0.002343
19540331,0.03053,0.028423
19540430,0.048358,0.04714
19540528,0.042777,0.033606
19540630,0.002467,0.000533
19540730,0.058701,0.05778
19540831,-0.025894,-0.034753
19540930,0.0825,0.080888
19541029,-0.017867,-0.018659
19541130,0.095774,0.082712
19541231,0.054288,0.052361
19550131,0.018076,0.017591
19550228,0.013526,0.005446
19550331,-0.002242,-0.003851
19550429,0.039843,0.038885
19550531,0.006433,-0.001081
19550630,0.0813,0.07993
19550729,0.057646,0.057068
19550831,-0.000648,-0.008313
19550930,0.011286,0.010117
19551031,-0.030468,-0.031
19551130,0.087825,0.075124
19551230,-0.000309,-0.001685
19560131,-0.035057,-0.036279
19560229,0.041397,0.034458
19560329,0.070328,0.069226
19560430,-0.000637,-0.001425
19560531,-0.058414,-0.065976
19560629,0.03891,0.037762
19560731,0.051427,0.050619
19560831,-0.032788,-0.039976
19560928,-0.044022,-0.045127
19561031,0.006619,0.005298
19561130,-0.001921,-0.011161
19561231,0.036284,0.034442
19570131,-0.040238,-0.041569
19570228,-0.024919,-0.032823
19570329,0.023827,0.020752
19570430,0.046538,0.045215
19570531,0.038734,0.033208
19570628,-0.000705,-0.003632
19570731,0.009747,0.008217
19570830,-0.048998,-0.054178
19570930,-0.057879,-0.060609
19571031,-0.038834,-0.040549
19571129,0.023703,0.016483
19571231,-0.037422,-0.041021
19580131,0.045518,0.04433
19580228,-0.014109,-0.020288
19580331,0.033052,0.029736
19580430,0.033511,0.032038
19580529,0.021313,0.015503
19580630,0.027998,0.024897
19580731,0.04396,0.042418
19580829,0.017999,0.01327
19580930,0.050837,0.047954
19581031,0.02737,0.025878
19581128,0.028617,0.023385
19581231,0.054112,0.051432
19590130,0.006331,0.005395
19590227,0.006711,0.00221
19590331,0.003352,0.000826
19590430,0.040054,0.039093
19590529,0.023631,0.019043
19590630,-0.000725,-0.003196
19590731,0.034504,0.033514
19590831,-0.011076,-0.015179
19590930,-0.043182,-0.045586
19591030,0.012574,0.011436
19591130,0.018486,0.013114
19591231,0.029627,0.026911
19600129,-0.069933,-0.070835
19600229,0.013922,0.009129
19600331,-0.012566,-0.015238
19600429,-0.016113,-0.017097
19600531,0.033513,0.028312
19600630,0.021802,0.019133
19600729,-0.022948,-0.023813
19600831,0.031467,0.026197
