"date","prices","vwretd_quarterly","vwretx_quarterly","dividends_quarterly","smoothed_dividends","t90ret","cpiret","exp_inflation_quarterly","real_rf"
1970-03-31,6.25833133864987,-0.0176159078867885,-0.0261137630601073,0.0539434579356255,0.227176343203264,0.022387,0.013263,0.0116950869367134,0.0106919130632866
1970-06-30,5.07467329094791,-0.180895050108905,-0.189133170433466,0.0541117197552672,0.221062395222171,0.019308,0.015706,0.0102452053312381,0.00906279466876193
1970-09-30,5.8723968039159,0.16824103733589,0.157197018848673,0.0539036290254163,0.221740454885048,0.017567,0.010309,0.0114628267689061,0.00610417323109392
1970-12-31,6.43666097204243,0.106180562482933,0.0960875409083832,0.055599626450982,0.217558433167291,0.016807,0.015306,0.00877289516878562,0.00803410483121438
1971-03-31,7.01271086841908,0.0979990953977166,0.0894951433481921,0.0529320971623205,0.216547072393986,0.012884,0.005025,0.0112634618179985,0.00162053818200149
1971-06-30,6.96499348573371,0.000876949678859651,-0.00680441324057179,0.0540658161962183,0.216501168834937,0.007764,0.015,0.00613928416729655,0.00162471583270345
1971-09-30,6.87287117268396,-0.00554264847939667,-0.0132264751199619,0.0534270960798862,0.216024635889407,0.014224,0.004926,0.0111109476305542,0.00311305236944579
1971-12-31,7.13902607687597,0.0472506259751651,0.0387254318471495,0.054561755817458,0.214986765255883,0.01366,0.007353,0.00608994134194693,0.00757005865805307
1972-03-30,7.49656723069974,0.0575657735025472,0.0500826233121465,0.0528236027242897,0.214878270817852,0.00919,0.007299,0.00729958818157864,0.00189041181842136
1972-06-30,7.49402945286294,0.00690295649325723,-0.000338525322150285,0.0550754377343171,0.215887892355951,0.010127,0.007246,0.00727267391320612,0.00285432608679388
1972-09-29,7.73508431678297,0.0393806852948724,0.0321662552083966,0.0538806424329645,0.216341438709029,0.010386,0.009593,0.00724625805721086,0.00313974194278914
1972-12-29,8.26434058205062,0.0762284402386557,0.0684228178507778,0.0591429030693039,0.220922585960875,0.011766,0.009501,0.00841603190666106,0.00334996809333894
1973-03-30,7.78867751264654,-0.0510418270594156,-0.0575560826277147,0.0542475204414382,0.222346503678024,0.01265,0.018823,0.00837017796795232,0.00427982203204768
1973-06-29,7.2778285001948,-0.0583563166549185,-0.0655886717125305,0.0566997728687478,0.223970838812454,0.015725,0.020785,0.0130163781488534,0.00270862185114664
1973-09-28,7.57496957517394,0.0488368263099106,0.040828260101373,0.0566046763403715,0.226694872719861,0.022193,0.022624,0.013994263233055,0.00819873676694498
1973-12-31,6.81908132876186,-0.0908922974853934,-0.0997876280440001,0.0678829083174047,0.235434877967962,0.019151,0.022124,0.0149108435948526,0.00424015640514741
1974-03-29,6.57187920329669,-0.0278281214289773,-0.0362515291352384,0.058498473711837,0.239685831238361,0.017226,0.034633,0.0146616374062181,0.00256436259378187
