date,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
1996,20.75,21.9,22.51,19.85,19.89,30.66,23.46,22.82,20.91,19.52
1997,31.25,28.64,30.65,29.44,32.84,38.86,30.92,41.22,36.01,31.06
1998,41.92,40.93,24.45,1.23,2.95,8.69,9.18,6.8,16.33,28.15
1999,31.07,20.32,21.66,10.89,5.49,6.12,-1.43,0.52,4.89,9.16
2000,-21.02,3.25,-0.93,20.18,9.53,24.29,22.71,25.85,18.16,6.71
2001,-18.69,-9.46,-3.29,-2.22,8.81,-1.29,-1.51,1.32,15.92,10.96
2002,-24.2,-26.29,-15.31,-15.49,-8.38,-16.16,-10.24,-12.77,-35.06,-17.89
2003,22.58,35.35,31.65,34.69,35.15,35.25,35.88,26.96,41.38,58.17
2004,6.27,8.52,13.91,13,17.86,13.58,18.94,15.53,28.51,15.46
2005,3.93,2.24,8.52,3.34,5.45,9.84,12.17,9,16.39,7.81
2006,9.3,8.1,16.69,16.1,19.58,21.51,20.8,22.13,26.12,21.24
2007,15.78,7.94,12.54,9.01,-1.84,1.85,-7.51,2.06,-4.06,0.31
2008,-41.83,-27.37,-31.51,-35.45,-34.87,-34.24,-55.33,-40.97,-31.06,-47.62
2009,42.93,25.04,28.3,22.18,24.67,22.53,29.49,9.47,37.43,30.72
2010,18.47,13.18,16.61,22.28,18.4,25.94,19.14,7.34,16.04,13.35
2011,6.41,-2.98,6.15,7.21,2.95,5.81,1.59,-1.03,-3.49,-31.34
2012,18.21,11.62,13.72,13.34,12.02,12.46,13.61,23.06,20.48,39.62
2013,29.12,39.89,35.23,29.87,35.75,31.56,34.55,36.79,35.5,46.71
2014,10.82,14.11,13.83,10.42,15.19,12.9,3.51,9.95,14.09,8.04
2015,11.96,0.6,1.04,-1.52,-3.27,-2.83,3.15,-7.52,-8.33,-10.04
2016,2.07,10.58,15.88,6.18,20.42,22.25,16,32.59,21.01,28.22
2017,30.3,32.81,26.28,13.96,26.3,8.78,6.46,19.17,14.23,19.04
2018,4.81,-4.98,-1.68,-0.88,-9.52,-8.74,-14.87,-10.69,-16.85,-21.9
